Time,X_Index,Y_Index,Concentration
0.16200,25,20,0.27800
0.16200,25,21,0.29569
0.16200,25,22,0.31386
0.16200,25,23,0.33254
0.16200,25,24,0.35171
0.16200,25,25,0.37139
0.16200,25,26,0.39158
0.16200,25,27,0.41227
0.16200,25,28,0.43347
0.16200,25,29,0.45518
0.16200,25,30,0.47737
0.16200,25,31,0.50006
0.16200,25,32,0.52322
0.16200,25,33,0.54685
0.16200,25,34,0.57093
0.16200,25,35,0.59545
0.16200,25,36,0.62038
0.16200,25,37,0.64572
0.16200,25,38,0.67143
0.16200,25,39,0.69750
0.16200,25,40,0.72390
0.16200,25,41,0.75061
0.16200,25,42,0.77759
0.16200,25,43,0.80483
0.16200,25,44,0.83229
0.16200,25,45,0.85995
0.16200,25,46,0.88776
0.16200,25,47,0.91571
0.16200,25,48,0.94375
0.16200,25,49,0.97186
0.16200,25,50,1.00000
0.17100,25,0,0.00000
0.17100,25,1,0.01266
0.17100,25,2,0.02534
0.17100,25,3,0.03809
0.17100,25,4,0.05091
0.17100,25,5,0.06385
0.17100,25,6,0.07693
0.17100,25,7,0.09018
0.17100,25,8,0.10362
0.17100,25,9,0.11728
0.17100,25,10,0.13118
0.17100,25,11,0.14535
0.17100,25,12,0.15981
0.17100,25,13,0.17459
0.17100,25,14,0.18969
0.17100,25,15,0.20515
0.17100,25,16,0.22098
0.17100,25,17,0.23719
0.17100,25,18,0.25381
0.17100,25,19,0.27084
0.17100,25,20,0.28830
0.17100,25,21,0.30620
0.17100,25,22,0.32454
0.17100,25,23,0.34334
0.17100,25,24,0.36260
0.17100,25,25,0.38232
0.17100,25,26,0.40251
0.17100,25,27,0.42316
0.17100,25,28,0.44427
0.17100,25,29,0.46584
0.17100,25,30,0.48786
0.17100,25,31,0.51033
0.17100,25,32,0.53324
0.17100,25,33,0.55657
0.17100,25,34,0.58031
0.17100,25,35,0.60444
0.17100,25,36,0.62896
0.17100,25,37,0.65385
0.17100,25,38,0.67907
0.17100,25,39,0.70463
0.17100,25,40,0.73048
0.17100,25,41,0.75661
0.17100,25,42,0.78300
0.17100,25,43,0.80961
0.17100,25,44,0.83643
0.17100,25,45,0.86342
0.17100,25,46,0.89056
0.17100,25,47,0.91781
0.17100,25,48,0.94516
0.17100,25,49,0.97256
0.17100,25,50,1.00000
0.18000,25,0,0.00000
0.18000,25,1,0.01327
0.18000,25,2,0.02657
0.18000,25,3,0.03992
0.18000,25,4,0.05335
0.18000,25,5,0.06688
0.18000,25,6,0.08054
0.18000,25,7,0.09435
0.18000,25,8,0.10835
0.18000,25,9,0.12254
0.18000,25,10,0.13696
0.18000,25,11,0.15162
0.18000,25,12,0.16655
0.18000,25,13,0.18177
0.18000,25,14,0.19729
0.18000,25,15,0.21314
0.18000,25,16,0.22932
0.18000,25,17,0.24586
0.18000,25,18,0.26277
0.18000,25,19,0.28006
0.18000,25,20,0.29775
